,date_series,# of confirmed cases,case_rate
10,2020-02-01,0,0.0
11,2020-02-02,0,0.0
12,2020-02-03,0,0.0
13,2020-02-04,0,0.0
14,2020-02-05,0,0.0
15,2020-02-06,0,0.0
16,2020-02-07,0,0.0
17,2020-02-08,0,0.0
18,2020-02-09,0,0.0
19,2020-02-10,0,0.0
20,2020-02-11,0,0.0
21,2020-02-12,0,0.0
22,2020-02-13,0,0.0
23,2020-02-14,0,0.0
24,2020-02-15,0,0.0
25,2020-02-16,0,0.0
26,2020-02-17,0,0.0
27,2020-02-18,0,0.0
28,2020-02-19,0,0.0
29,2020-02-20,0,0.0
30,2020-02-21,0,0.0
31,2020-02-22,0,0.0
32,2020-02-23,0,0.0
33,2020-02-24,0,0.0
34,2020-02-25,0,0.0
35,2020-02-26,0,0.0
36,2020-02-27,0,0.0
37,2020-02-28,0,0.0
38,2020-02-29,0,0.0
39,2020-03-01,0,0.0
40,2020-03-02,0,0.0
41,2020-03-03,0,0.0
42,2020-03-04,0,0.0
43,2020-03-05,0,0.0
44,2020-03-06,0,0.0
45,2020-03-07,0,0.5
46,2020-03-08,1,0.5
47,2020-03-09,1,0.0
48,2020-03-10,1,0.0
49,2020-03-11,1,0.5
50,2020-03-12,2,0.5
51,2020-03-13,2,0.0
52,2020-03-14,2,0.0
53,2020-03-15,2,0.0
54,2020-03-16,2,0.5
55,2020-03-17,3,1.0
56,2020-03-18,4,3.5
57,2020-03-19,10,0.0
58,2020-03-20,4,16.0
59,2020-03-21,42,31.0
60,2020-03-22,66,25.5
61,2020-03-23,93,34.5
62,2020-03-24,135,38.5
63,2020-03-25,170,31.5
64,2020-03-26,198,26.5
65,2020-03-27,223,38.5
66,2020-03-28,275,69.5
67,2020-03-29,362,60.5
68,2020-03-30,396,33.0
69,2020-03-31,428,113.0
70,2020-04-01,622,112.5
71,2020-04-02,653,48.0
72,2020-04-03,718,47.0
73,2020-04-04,747,42.5
74,2020-04-05,803,47.5
75,2020-04-06,842,53.0
76,2020-04-07,909,54.0
77,2020-04-08,950,63.5
78,2020-04-09,1036,81.0
79,2020-04-10,1112,84.5
80,2020-04-11,1205,88.5
81,2020-04-12,1289,74.5
82,2020-04-13,1354,64.0
83,2020-04-14,1417,70.0
84,2020-04-15,1494,117.0
85,2020-04-16,1651,116.5
86,2020-04-17,1727,59.5
87,2020-04-18,1770,34.5
88,2020-04-19,1796,49.5
89,2020-04-20,1869,57.0
90,2020-04-21,1910,40.5
91,2020-04-22,1950,45.0
92,2020-04-23,2000,70.0
93,2020-04-24,2090,99.5
94,2020-04-25,2199,115.5
95,2020-04-26,2321,89.0
96,2020-04-27,2377,57.0
97,2020-04-28,2435,67.5
98,2020-04-29,2512,81.0
99,2020-04-30,2597,83.0
100,2020-05-01,2678,85.0
101,2020-05-02,2767,84.5
102,2020-05-03,2847,66.5
103,2020-05-04,2900,55.5
104,2020-05-05,2958,67.0
105,2020-05-06,3034,73.0
106,2020-05-07,3104,63.5
107,2020-05-08,3161,61.5
108,2020-05-09,3227,74.5
109,2020-05-10,3310,91.5
110,2020-05-11,3410,85.0
111,2020-05-12,3480,67.5
112,2020-05-13,3545,60.0
113,2020-05-14,3600,35.0
114,2020-05-15,3615,53.5
115,2020-05-16,3707,106.5
116,2020-05-17,3828,87.0
117,2020-05-18,3881,70.0
118,2020-05-19,3968,72.5
119,2020-05-20,4026,45.5
120,2020-05-21,4059,61.0
121,2020-05-22,4148,108.5
122,2020-05-23,4276,116.0
123,2020-05-24,4380,125.5
124,2020-05-25,4527,100.5
125,2020-05-26,4581,54.0
126,2020-05-27,4635,115.5
127,2020-05-28,4812,108.5
128,2020-05-29,4852,85.0
129,2020-05-30,4982,173.0
130,2020-05-31,5198,146.0
131,2020-06-01,5274,105.5
132,2020-06-02,5409,133.0
133,2020-06-03,5540,90.5
134,2020-06-04,5590,69.5
135,2020-06-05,5679,118.0
136,2020-06-06,5826,136.5
137,2020-06-07,5952,105.5
138,2020-06-08,6037,104.0
139,2020-06-09,6160,122.0
140,2020-06-10,6281,123.0
141,2020-06-11,6406,116.0
142,2020-06-12,6513,105.0
143,2020-06-13,6616,138.5
144,2020-06-14,6790,181.0
145,2020-06-15,6978,160.0
146,2020-06-16,7110,104.0
147,2020-06-17,7186,192.5
148,2020-06-18,7495,251.5
149,2020-06-19,7689,154.5
150,2020-06-20,7804,155.5
151,2020-06-21,8000,160.5
152,2020-06-22,8125,201.5
153,2020-06-23,8403,221.0
154,2020-06-24,8567,238.5
155,2020-06-25,8880,258.5
156,2020-06-26,9084,142.5
157,2020-06-27,9165,75.0
158,2020-06-28,9234,332.5
159,2020-06-29,9830,457.5
160,2020-06-30,10149,314.0
161,2020-07-01,10458,388.5
162,2020-07-02,10926,405.5
163,2020-07-03,11269,390.0
164,2020-07-04,11706,352.5
165,2020-07-05,11974,195.0
166,2020-07-06,12096,246.0
167,2020-07-07,12466,309.5
168,2020-07-08,12715,292.0
169,2020-07-09,13050,363.0
170,2020-07-10,13441,268.5
171,2020-07-11,13587,348.0
172,2020-07-12,14137,429.0
173,2020-07-13,14445,358.0
174,2020-07-14,14853,367.0
175,2020-07-15,15179,390.5
176,2020-07-16,15634,426.0
177,2020-07-17,16031,425.0
178,2020-07-18,16484,332.0
179,2020-07-19,16695,151.5
180,2020-07-20,16787,290.0
181,2020-07-21,17275,425.5
182,2020-07-22,17638,388.0
183,2020-07-23,18051,373.5
184,2020-07-24,18385,357.0
185,2020-07-25,18765,351.0
186,2020-07-26,19087,359.0
187,2020-07-27,19483,435.0
188,2020-07-28,19957,398.5
189,2020-07-29,20280,402.0
190,2020-07-30,20761,424.5
191,2020-07-31,21129,369.0
192,2020-08-01,21499,273.0
193,2020-08-02,21675,191.0
194,2020-08-03,21881,229.0
195,2020-08-04,22133,215.0
196,2020-08-05,22311,301.5
197,2020-08-06,22736,391.0
198,2020-08-07,23093,350.0
199,2020-08-08,23436,259.5
200,2020-08-09,23612,152.5
201,2020-08-10,23741,177.5
202,2020-08-11,23967,201.5
203,2020-08-12,24144,194.0
204,2020-08-13,24355,240.0
205,2020-08-14,24624,241.0
206,2020-08-15,24837,162.5
207,2020-08-16,24949,130.0
208,2020-08-17,25097,155.5
209,2020-08-18,25260,157.5
210,2020-08-19,25412,190.5
211,2020-08-20,25641,123.5
212,2020-08-21,25659,181.5
213,2020-08-22,26004,236.0
214,2020-08-23,26131,124.5
215,2020-08-24,26253,143.0
216,2020-08-25,26417,177.0
217,2020-08-26,26607,181.5
218,2020-08-27,26780,198.5
219,2020-08-28,27004,202.0
220,2020-08-29,27184,133.5
221,2020-08-30,27271,84.5
222,2020-08-31,27353,99.0
223,2020-09-01,27469,110.0
224,2020-09-02,27573,138.0
225,2020-09-03,27745,150.0
226,2020-09-04,27873,137.5
227,2020-09-05,28020,128.5
228,2020-09-06,28130,119.5
229,2020-09-07,28259,99.5
230,2020-09-08,28329,85.0
231,2020-09-09,28429,111.5
232,2020-09-10,28552,99.0
233,2020-09-11,28627,103.5
234,2020-09-12,28759,119.0
235,2020-09-13,28865,189.5
236,2020-09-14,29138,281.0
237,2020-09-15,29427,217.5
238,2020-09-16,29573,158.0
239,2020-09-17,29743,132.0
240,2020-09-18,29837,200.0
241,2020-09-19,30143,208.0
242,2020-09-20,30253,99.5
243,2020-09-21,30342,115.5
244,2020-09-22,30484,122.5
245,2020-09-23,30587,82.0
246,2020-09-24,30648,90.0
247,2020-09-25,30767,188.0
248,2020-09-26,31024,194.0
249,2020-09-27,31155,91.5
250,2020-09-28,31207,84.0
251,2020-09-29,31323,83.0
