,Week_begin,Week_end,Daily_cases,Moving_avg_cases,Cumulative_cases,inventory,total_homes_sold,median_sale_price,median_new_listing_price,total_new_listings
0,2020-01-27,2020-02-02,0,0,0,,,,,
1,2020-02-03,2020-02-09,0,0,0,2162.0,146.0,148000.0,185000.0,261.0
2,2020-02-10,2020-02-16,0,0,0,2147.0,183.0,170000.0,213750.0,230.0
3,2020-02-17,2020-02-23,0,0,0,2166.0,170.0,180000.0,181500.0,214.0
4,2020-02-24,2020-03-01,0,0,0,2097.0,281.0,199999.0,185000.0,257.0
5,2020-03-02,2020-03-08,1,0,1,2131.0,194.0,202400.0,225000.0,264.0
6,2020-03-09,2020-03-15,1,0,2,2180.0,187.0,190000.0,217950.0,264.0
7,2020-03-16,2020-03-22,64,16,66,2232.0,187.0,189000.0,204900.0,267.0
8,2020-03-23,2020-03-29,296,189,362,2260.0,204.0,200000.0,205000.0,258.0
9,2020-03-30,2020-04-05,441,416,803,2246.0,216.0,225000.0,226900.0,231.0
10,2020-04-06,2020-04-12,486,425,1289,2228.0,150.0,215000.0,202500.0,207.0
11,2020-04-13,2020-04-19,507,553,1796,2169.0,251.0,209000.0,239900.0,216.0
12,2020-04-20,2020-04-26,525,447,2321,2168.0,206.0,207750.0,236000.0,242.0
13,2020-04-27,2020-05-03,526,553,2847,2160.0,289.0,220000.0,210000.0,267.0
14,2020-05-04,2020-05-10,463,498,3310,2165.0,170.0,199950.0,222900.0,271.0
15,2020-05-11,2020-05-17,518,500,3828,2145.0,206.0,218000.0,233000.0,245.0
16,2020-05-18,2020-05-24,552,508,4380,2176.0,197.0,193000.0,214950.0,288.0
17,2020-05-25,2020-05-31,818,694,5198,2081.0,260.0,230500.0,210000.0,209.0
18,2020-06-01,2020-06-07,754,812,5952,2137.0,198.0,199910.0,210000.0,293.0
19,2020-06-08,2020-06-14,838,791,6790,2149.0,220.0,196500.0,189900.0,323.0
20,2020-06-15,2020-06-21,1210,1066,8000,2123.0,240.0,235000.0,215000.0,278.0
21,2020-06-22,2020-06-28,1234,1313,9234,2087.0,290.0,213000.0,199900.0,304.0
22,2020-06-29,2020-07-05,2740,2121,11974,2032.0,286.0,225000.0,219925.0,238.0
23,2020-07-06,2020-07-12,2163,2168,14137,2000.0,245.0,208000.0,242500.0,286.0
24,2020-07-13,2020-07-19,2558,2547,16695,2003.0,317.0,220000.0,235000.0,310.0
25,2020-07-20,2020-07-26,2392,2381,19087,2005.0,258.0,240000.0,229000.0,291.0
26,2020-07-27,2020-08-02,2588,2685,21675,1975.0,334.0,210325.0,229500.0,286.0
27,2020-08-03,2020-08-09,1937,2061,23612,1977.0,237.0,235000.0,220000.0,291.0
28,2020-08-10,2020-08-16,1337,1631,24949,2021.0,258.0,224500.0,170000.0,339.0
29,2020-08-17,2020-08-23,1182,1228,26131,2044.0,250.0,238000.0,215000.0,318.0
30,2020-08-24,2020-08-30,1140,1188,27271,1985.0,292.0,250000.0,230000.0,221.0
31,2020-08-31,2020-09-06,859,949,28130,2025.0,272.0,235500.0,238450.0,299.0
32,2020-09-07,2020-09-13,735,808,28865,2070.0,190.0,214500.0,235000.0,266.0
33,2020-09-14,2020-09-20,1388,1185,30253,2065.0,271.0,234420.0,235000.0,273.0
