,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
666596,TN,Shelby County,47,157,2020-04-10,2,No,,,
666597,TN,Shelby County,47,157,2020-04-11,2,No,,,
666598,TN,Shelby County,47,157,2020-04-12,2,No,,,
666599,TN,Shelby County,47,157,2020-04-13,2,No,,,
666600,TN,Shelby County,47,157,2020-04-14,2,No,,,
666601,TN,Shelby County,47,157,2020-04-15,2,No,,,
666602,TN,Shelby County,47,157,2020-04-16,2,No,,,
666603,TN,Shelby County,47,157,2020-04-17,2,No,,,
666604,TN,Shelby County,47,157,2020-04-18,2,No,,,
666605,TN,Shelby County,47,157,2020-04-19,2,No,,,
666606,TN,Shelby County,47,157,2020-04-20,2,No,,,
666607,TN,Shelby County,47,157,2020-04-21,2,No,,,
666608,TN,Shelby County,47,157,2020-04-22,2,No,,,
666609,TN,Shelby County,47,157,2020-04-23,2,No,,,
666610,TN,Shelby County,47,157,2020-04-24,2,No,,,
666611,TN,Shelby County,47,157,2020-04-25,2,No,,,
666612,TN,Shelby County,47,157,2020-04-26,2,No,,,
666613,TN,Shelby County,47,157,2020-04-27,2,No,,,
666614,TN,Shelby County,47,157,2020-04-28,2,No,,,
666615,TN,Shelby County,47,157,2020-04-29,2,No,,,
666616,TN,Shelby County,47,157,2020-04-30,2,No,,,
666617,TN,Shelby County,47,157,2020-05-01,2,No,,,
666618,TN,Shelby County,47,157,2020-05-02,2,No,,,
666619,TN,Shelby County,47,157,2020-05-03,2,No,,,
666620,TN,Shelby County,47,157,2020-05-04,2,No,,,
666621,TN,Shelby County,47,157,2020-05-05,2,No,,,
666622,TN,Shelby County,47,157,2020-05-06,2,No,,,
666623,TN,Shelby County,47,157,2020-05-07,2,No,,,
666624,TN,Shelby County,47,157,2020-05-08,2,No,,,
666625,TN,Shelby County,47,157,2020-05-09,2,No,,,
666626,TN,Shelby County,47,157,2020-05-10,2,No,,,
666627,TN,Shelby County,47,157,2020-05-11,2,No,,,
666628,TN,Shelby County,47,157,2020-05-12,2,No,,,
666629,TN,Shelby County,47,157,2020-05-13,2,No,,,
666630,TN,Shelby County,47,157,2020-05-14,2,No,,,
666631,TN,Shelby County,47,157,2020-05-15,2,No,,,
666632,TN,Shelby County,47,157,2020-05-16,2,No,,,
666633,TN,Shelby County,47,157,2020-05-17,2,No,,,
666634,TN,Shelby County,47,157,2020-05-18,2,No,,,
666635,TN,Shelby County,47,157,2020-05-19,2,No,,,
666636,TN,Shelby County,47,157,2020-05-20,2,No,,,
666637,TN,Shelby County,47,157,2020-05-21,2,No,,,
666638,TN,Shelby County,47,157,2020-05-22,2,No,,,
666639,TN,Shelby County,47,157,2020-05-23,2,No,,,
666640,TN,Shelby County,47,157,2020-05-24,2,No,,,
